type_of_water_source,town_name,province_name,location_type,number_of_people_served,time_in_queue,results
shared_tap,Bello,Amanzi,Urban,3370,240,NULL
well,Rural,Akatsi,Rural,186,0,"Contaminated: Chemical"
well,Rural,Kilimani,Rural,310,0,"Contaminated: Biological"
tap_in_home_broken,Rural,Kilimani,Rural,592,0,NULL
tap_in_home_broken,Ilanga,Sokoto,Urban,732,0,NULL
shared_tap,Rural,Hawassa,Rural,1290,116,NULL
tap_in_home,Rural,Akatsi,Rural,758,0,NULL
well,Rural,Sokoto,Rural,212,0,"Contaminated: Biological"
well,Rural,Amanzi,Rural,266,0,"Contaminated: Biological"
shared_tap,Rural,Sokoto,Rural,386,51,NULL
tap_in_home,Asmara,Amanzi,Urban,494,0,NULL
tap_in_home,Ilanga,Sokoto,Urban,588,0,NULL
well,Rural,Akatsi,Rural,270,0,"Contaminated: Chemical"
well,Harare,Akatsi,Urban,270,0,Clean
tap_in_home_broken,Majengo,Sokoto,Urban,644,0,NULL
well,Marang,Sokoto,Urban,342,0,Clean
shared_tap,Amina,Amanzi,Urban,822,19,NULL
well,Lusaka,Akatsi,Urban,286,0,"Contaminated: Chemical"
well,Rural,Amanzi,Rural,388,0,"Contaminated: Chemical"
well,Amara,Kilimani,Urban,372,0,Clean
well,Rural,Hawassa,Rural,256,0,"Contaminated: Chemical"
shared_tap,Rural,Kilimani,Rural,1652,23,NULL
tap_in_home_broken,Rural,Amanzi,Rural,634,0,NULL
tap_in_home,Rural,Amanzi,Rural,712,0,NULL
well,Asmara,Amanzi,Urban,308,0,"Contaminated: Biological"
well,Rural,Amanzi,Rural,270,0,Clean
tap_in_home_broken,Yaounde,Hawassa,Urban,524,0,NULL
tap_in_home_broken,Asmara,Amanzi,Urban,472,0,NULL
well,Rural,Hawassa,Rural,332,0,"Contaminated: Chemical"
tap_in_home,Asmara,Amanzi,Urban,668,0,NULL
tap_in_home,Kofi,Sokoto,Urban,448,0,NULL
well,Rural,Kilimani,Rural,348,0,"Contaminated: Chemical"
well,Rural,Akatsi,Rural,210,0,"Contaminated: Biological"
tap_in_home,Rural,Hawassa,Rural,536,0,NULL
well,Marang,Sokoto,Urban,268,0,"Contaminated: Biological"
well,Rural,Hawassa,Rural,396,0,"Contaminated: Chemical"
shared_tap,Rural,Amanzi,Rural,1542,134,NULL
tap_in_home_broken,Pwani,Amanzi,Urban,736,0,NULL
shared_tap,Rural,Akatsi,Rural,3202,240,NULL
well,Rural,Akatsi,Rural,354,0,"Contaminated: Chemical"
tap_in_home_broken,Rural,Amanzi,Rural,694,0,NULL
well,Rural,Sokoto,Rural,352,0,"Contaminated: Chemical"
tap_in_home_broken,Rural,Akatsi,Rural,478,0,NULL
tap_in_home,Bello,Amanzi,Urban,964,0,NULL
shared_tap,Rural,Sokoto,Rural,1626,141,NULL
well,Isiqalo,Kilimani,Urban,226,0,"Contaminated: Biological"
tap_in_home,Rural,Akatsi,Rural,534,0,NULL
well,Rural,Sokoto,Rural,270,0,"Contaminated: Biological"
well,Mrembo,Kilimani,Urban,222,0,"Contaminated: Chemical"
well,Rural,Hawassa,Rural,232,0,Clean
well,Rural,Hawassa,Rural,286,0,"Contaminated: Chemical"
tap_in_home_broken,Amara,Kilimani,Urban,656,0,NULL
well,Marang,Sokoto,Urban,370,0,Clean
shared_tap,Rural,Hawassa,Rural,406,52,NULL
river,Cheche,Sokoto,Urban,442,28,NULL
river,Ilanga,Sokoto,Urban,850,15,NULL
well,Isiqalo,Kilimani,Urban,186,0,"Contaminated: Biological"
tap_in_home_broken,Pwani,Amanzi,Urban,866,0,NULL
tap_in_home,Majengo,Sokoto,Urban,580,0,NULL
shared_tap,Rural,Sokoto,Rural,1944,25,NULL
river,Rural,Akatsi,Rural,806,25,NULL
tap_in_home,Rural,Akatsi,Rural,620,0,NULL
tap_in_home_broken,Mrembo,Kilimani,Urban,392,0,NULL
well,Rural,Sokoto,Rural,396,0,"Contaminated: Biological"
well,Rural,Amanzi,Rural,298,0,"Contaminated: Biological"
tap_in_home_broken,Kintampo,Akatsi,Urban,744,0,NULL
shared_tap,Rural,Sokoto,Rural,330,47,NULL
shared_tap,Abidjan,Amanzi,Urban,3294,240,NULL
well,Rural,Akatsi,Rural,192,0,Clean
well,Rural,Sokoto,Rural,372,0,"Contaminated: Chemical"
river,Marang,Sokoto,Urban,482,18,NULL
shared_tap,Rural,Kilimani,Rural,3868,30,NULL
well,Lusaka,Akatsi,Urban,396,0,"Contaminated: Biological"
shared_tap,Amara,Kilimani,Urban,2838,228,NULL
well,Rural,Hawassa,Rural,382,0,Clean
well,Ilanga,Sokoto,Urban,322,0,Clean
well,Rural,Akatsi,Rural,186,0,"Contaminated: Chemical"
well,Marang,Sokoto,Urban,266,0,"Contaminated: Chemical"
tap_in_home_broken,Rural,Akatsi,Rural,670,0,NULL
tap_in_home,Rural,Kilimani,Rural,842,0,NULL
well,Rural,Sokoto,Rural,262,0,"Contaminated: Chemical"
well,Harare,Akatsi,Urban,262,0,Clean
river,Rural,Sokoto,Rural,512,15,NULL
well,Harare,Kilimani,Urban,276,0,"Contaminated: Chemical"
well,Lusaka,Akatsi,Urban,212,0,Clean
tap_in_home,Bahari,Sokoto,Urban,824,0,NULL
well,Harare,Akatsi,Urban,350,0,Clean
river,Ilanga,Sokoto,Urban,712,13,NULL
well,Serowe,Hawassa,Urban,186,0,Clean
well,Harare,Kilimani,Urban,254,0,"Contaminated: Chemical"
well,Rural,Akatsi,Rural,280,0,"Contaminated: Chemical"
tap_in_home_broken,Rural,Sokoto,Rural,476,0,NULL
river,Rural,Hawassa,Rural,604,24,NULL
well,Rural,Kilimani,Rural,174,0,"Contaminated: Biological"
well,Rural,Kilimani,Rural,202,0,"Contaminated: Chemical"
well,Asmara,Amanzi,Urban,300,0,"Contaminated: Chemical"
tap_in_home,Marang,Sokoto,Urban,764,0,NULL
tap_in_home_broken,Rural,Kilimani,Rural,412,0,NULL
shared_tap,Rural,Akatsi,Rural,2204,182,NULL
well,Rural,Akatsi,Rural,338,0,"Contaminated: Chemical"
shared_tap,Rural,Hawassa,Rural,524,17,NULL
tap_in_home,Isiqalo,Kilimani,Urban,844,0,NULL
well,Rural,Hawassa,Rural,228,0,"Contaminated: Biological"
tap_in_home,Rural,Amanzi,Rural,666,0,NULL
well,Rural,Akatsi,Rural,232,0,"Contaminated: Biological"
well,Rural,Kilimani,Rural,378,0,"Contaminated: Chemical"
shared_tap,Rural,Sokoto,Rural,736,76,NULL
well,Rural,Kilimani,Rural,352,0,Clean
well,Rural,Amanzi,Rural,244,0,Clean
river,Zuri,Kilimani,Urban,434,23,NULL
river,Asmara,Amanzi,Urban,438,17,NULL
river,Mrembo,Kilimani,Urban,888,5,NULL
well,Harare,Kilimani,Urban,386,0,"Contaminated: Chemical"
well,Rural,Sokoto,Rural,320,0,"Contaminated: Biological"
tap_in_home_broken,Bello,Amanzi,Urban,346,0,NULL
tap_in_home,Bello,Amanzi,Urban,894,0,NULL
well,Rural,Akatsi,Rural,232,0,Clean
well,Rural,Akatsi,Rural,308,0,Clean
well,Harare,Kilimani,Urban,388,0,"Contaminated: Biological"
well,Majengo,Sokoto,Urban,328,0,"Contaminated: Chemical"
tap_in_home_broken,Amina,Amanzi,Urban,930,0,NULL
well,Rural,Akatsi,Rural,260,0,"Contaminated: Biological"
well,Bahari,Sokoto,Urban,260,0,Clean
tap_in_home_broken,Pwani,Amanzi,Urban,970,0,NULL
well,Rural,Akatsi,Rural,396,0,"Contaminated: Chemical"
tap_in_home_broken,Rural,Sokoto,Rural,318,0,NULL
well,Rural,Kilimani,Rural,344,0,"Contaminated: Chemical"
tap_in_home,Rural,Hawassa,Rural,754,0,NULL
shared_tap,Rural,Akatsi,Rural,1632,23,NULL
well,Rural,Sokoto,Rural,204,0,"Contaminated: Chemical"
tap_in_home,Harare,Kilimani,Urban,956,0,NULL
shared_tap,Rural,Amanzi,Rural,2744,29,NULL
tap_in_home,Rural,Kilimani,Rural,478,0,NULL
tap_in_home,Rural,Sokoto,Rural,572,0,NULL
tap_in_home,Lusaka,Akatsi,Urban,698,0,NULL
well,Rural,Akatsi,Rural,370,0,"Contaminated: Chemical"
tap_in_home_broken,Rural,Hawassa,Rural,884,0,NULL
shared_tap,Rural,Amanzi,Rural,3810,240,NULL
river,Rural,Hawassa,Rural,562,6,NULL
shared_tap,Dahabu,Amanzi,Urban,642,69,NULL
tap_in_home_broken,Majengo,Sokoto,Urban,494,0,NULL
well,Rural,Sokoto,Rural,346,0,"Contaminated: Biological"
tap_in_home,Kintampo,Akatsi,Urban,924,0,NULL
tap_in_home,Rural,Amanzi,Rural,954,0,NULL
shared_tap,Asmara,Amanzi,Urban,1500,131,NULL
well,Rural,Kilimani,Rural,288,0,"Contaminated: Chemical"
river,Rural,Kilimani,Rural,480,12,NULL
shared_tap,Rural,Sokoto,Rural,328,47,NULL
shared_tap,Serowe,Hawassa,Urban,3686,30,NULL
well,Rural,Akatsi,Rural,208,0,Clean
shared_tap,Rural,Kilimani,Rural,3146,30,NULL
tap_in_home,Rural,Amanzi,Rural,900,0,NULL
well,Mrembo,Kilimani,Urban,284,0,"Contaminated: Chemical"
well,Mrembo,Kilimani,Urban,280,0,"Contaminated: Biological"
well,Ilanga,Sokoto,Urban,268,0,Clean
well,Rural,Sokoto,Rural,284,0,Clean
tap_in_home,Rural,Sokoto,Rural,940,0,NULL
tap_in_home_broken,Rural,Akatsi,Rural,308,0,NULL
river,Rural,Sokoto,Rural,736,22,NULL
well,Rural,Sokoto,Rural,288,0,"Contaminated: Chemical"
river,Rural,Sokoto,Rural,672,29,NULL
well,Amara,Kilimani,Urban,282,0,"Contaminated: Chemical"
well,Harare,Akatsi,Urban,394,0,Clean
tap_in_home_broken,Rural,Hawassa,Rural,420,0,NULL
river,Marang,Sokoto,Urban,516,29,NULL
well,Harare,Akatsi,Urban,192,0,Clean
well,Rural,Hawassa,Rural,366,0,"Contaminated: Biological"
well,Rural,Akatsi,Rural,198,0,"Contaminated: Chemical"
well,Rural,Hawassa,Rural,192,0,"Contaminated: Biological"
tap_in_home_broken,Yaounde,Hawassa,Urban,378,0,NULL
river,Rural,Kilimani,Rural,912,29,NULL
shared_tap,Rural,Sokoto,Rural,738,76,NULL
tap_in_home,Rural,Kilimani,Rural,468,0,NULL
well,Rural,Akatsi,Rural,282,0,"Contaminated: Chemical"
well,Rural,Akatsi,Rural,364,0,"Contaminated: Chemical"
tap_in_home_broken,Rural,Kilimani,Rural,720,0,NULL
tap_in_home_broken,Amina,Amanzi,Urban,996,0,NULL
tap_in_home,Rural,Amanzi,Rural,826,0,NULL
well,Kintampo,Akatsi,Urban,242,0,"Contaminated: Biological"
tap_in_home,Zuri,Kilimani,Urban,652,0,NULL
well,Rural,Hawassa,Rural,236,0,"Contaminated: Chemical"
well,Rural,Sokoto,Rural,220,0,"Contaminated: Chemical"
tap_in_home,Rural,Amanzi,Rural,918,0,NULL
shared_tap,Rural,Kilimani,Rural,3364,240,NULL
well,Harare,Akatsi,Urban,366,0,Clean
shared_tap,Rural,Hawassa,Rural,3448,240,NULL
shared_tap,Pwani,Amanzi,Urban,3244,30,NULL
tap_in_home,Kintampo,Akatsi,Urban,714,0,NULL
tap_in_home_broken,Harare,Akatsi,Urban,980,0,NULL
shared_tap,Rural,Hawassa,Rural,2176,180,NULL
well,Rural,Akatsi,Rural,386,0,"Contaminated: Chemical"
well,Harare,Kilimani,Urban,270,0,"Contaminated: Biological"
well,Rural,Hawassa,Rural,188,0,"Contaminated: Biological"
tap_in_home_broken,Amina,Hawassa,Urban,986,0,NULL
well,Zuri,Kilimani,Urban,270,0,Clean
tap_in_home,Harare,Akatsi,Urban,726,0,NULL
well,Serowe,Hawassa,Urban,220,0,Clean
river,Rural,Sokoto,Rural,526,17,NULL
well,Kintampo,Akatsi,Urban,238,0,"Contaminated: Chemical"
well,Rural,Akatsi,Rural,222,0,"Contaminated: Chemical"
tap_in_home_broken,Kofi,Sokoto,Urban,842,0,NULL
tap_in_home_broken,Rural,Amanzi,Rural,714,0,NULL
shared_tap,Rural,Sokoto,Rural,1838,24,NULL
well,Harare,Kilimani,Urban,382,0,"Contaminated: Biological"
shared_tap,Zuri,Kilimani,Urban,3586,30,NULL
river,Rural,Akatsi,Rural,830,5,NULL
well,Serowe,Hawassa,Urban,340,0,Clean
tap_in_home,Ilanga,Sokoto,Urban,938,0,NULL
shared_tap,Rural,Kilimani,Rural,820,19,NULL
well,Rural,Akatsi,Rural,180,0,Clean
tap_in_home_broken,Amina,Amanzi,Urban,872,0,NULL
tap_in_home_broken,Marang,Sokoto,Urban,704,0,NULL
tap_in_home_broken,Mrembo,Kilimani,Urban,534,0,NULL
well,Mrembo,Kilimani,Urban,340,0,"Contaminated: Biological"
well,Rural,Kilimani,Rural,212,0,"Contaminated: Biological"
well,Rural,Hawassa,Rural,206,0,Clean
shared_tap,Rural,Akatsi,Rural,3122,240,NULL
well,Rural,Sokoto,Rural,226,0,"Contaminated: Chemical"
tap_in_home,Rural,Akatsi,Rural,902,0,NULL
well,Rural,Hawassa,Rural,370,0,"Contaminated: Biological"
tap_in_home,Bahari,Sokoto,Urban,402,0,NULL
tap_in_home,Rural,Sokoto,Rural,426,0,NULL
tap_in_home,Zanzibar,Hawassa,Urban,554,0,NULL
tap_in_home_broken,Rural,Hawassa,Rural,884,0,NULL
well,Rural,Hawassa,Rural,326,0,"Contaminated: Biological"
well,Rural,Akatsi,Rural,238,0,Clean
tap_in_home,Harare,Akatsi,Urban,520,0,NULL
shared_tap,Rural,Akatsi,Rural,622,18,NULL
tap_in_home,Mrembo,Kilimani,Urban,502,0,NULL
shared_tap,Rural,Kilimani,Rural,2234,185,NULL
well,Rural,Hawassa,Rural,302,0,"Contaminated: Biological"
well,Harare,Akatsi,Urban,196,0,"Contaminated: Chemical"
river,Rural,Sokoto,Rural,402,21,NULL
well,Deka,Hawassa,Urban,206,0,"Contaminated: Biological"
tap_in_home,Majengo,Sokoto,Urban,874,0,NULL
shared_tap,Rural,Akatsi,Rural,1690,23,NULL
river,Rural,Sokoto,Rural,884,24,NULL
tap_in_home,Dahabu,Amanzi,Urban,414,0,NULL
tap_in_home,Dahabu,Amanzi,Urban,732,0,NULL
well,Rural,Kilimani,Rural,324,0,"Contaminated: Biological"
well,Rural,Akatsi,Rural,224,0,Clean
well,Zanzibar,Hawassa,Urban,162,0,"Contaminated: Chemical"
well,Rural,Sokoto,Rural,354,0,"Contaminated: Chemical"
well,Rural,Kilimani,Rural,186,0,Clean
river,Rural,Sokoto,Rural,680,6,NULL
well,Rural,Hawassa,Rural,236,0,"Contaminated: Biological"
well,Amina,Amanzi,Urban,366,0,Clean
river,Rural,Sokoto,Rural,720,19,NULL
river,Rural,Sokoto,Rural,684,26,NULL
well,Rural,Akatsi,Rural,264,0,Clean
well,Isiqalo,Kilimani,Urban,340,0,"Contaminated: Chemical"
well,Rural,Akatsi,Rural,394,0,Clean
tap_in_home,Cheche,Sokoto,Urban,952,0,NULL
well,Amara,Kilimani,Urban,320,0,"Contaminated: Biological"
well,Rural,Kilimani,Rural,234,0,"Contaminated: Chemical"
tap_in_home_broken,Rural,Kilimani,Rural,998,0,NULL
tap_in_home,Mrembo,Kilimani,Urban,946,0,NULL
well,Rural,Amanzi,Rural,392,0,"Contaminated: Biological"
well,Rural,Akatsi,Rural,276,0,"Contaminated: Chemical"
tap_in_home_broken,Rural,Amanzi,Rural,362,0,NULL
river,Rural,Sokoto,Rural,850,19,NULL
river,Rural,Sokoto,Rural,644,14,NULL
well,Rural,Akatsi,Rural,270,0,Clean
tap_in_home_broken,Rural,Akatsi,Rural,488,0,NULL
tap_in_home_broken,Rural,Kilimani,Rural,662,0,NULL
well,Amina,Hawassa,Urban,260,0,"Contaminated: Biological"
shared_tap,Rural,Amanzi,Rural,3124,240,NULL
well,Rural,Kilimani,Rural,380,0,"Contaminated: Chemical"
tap_in_home,Rural,Akatsi,Rural,720,0,NULL
river,Rural,Akatsi,Rural,666,18,NULL
river,Rural,Sokoto,Rural,664,18,NULL
tap_in_home_broken,Rural,Amanzi,Rural,332,0,NULL
tap_in_home_broken,Rural,Kilimani,Rural,402,0,NULL
river,Rural,Sokoto,Rural,844,5,NULL
well,Rural,Kilimani,Rural,266,0,"Contaminated: Chemical"
river,Lusaka,Akatsi,Urban,872,13,NULL
shared_tap,Rural,Kilimani,Rural,1092,20,NULL
tap_in_home_broken,Rural,Hawassa,Rural,902,0,NULL
tap_in_home_broken,Bello,Amanzi,Urban,532,0,NULL
well,Rural,Kilimani,Rural,266,0,"Contaminated: Biological"
tap_in_home_broken,Zanzibar,Hawassa,Urban,628,0,NULL
shared_tap,Rural,Akatsi,Rural,2314,190,NULL
well,Rural,Sokoto,Rural,218,0,"Contaminated: Chemical"
well,Rural,Akatsi,Rural,338,0,"Contaminated: Chemical"
well,Rural,Hawassa,Rural,390,0,"Contaminated: Chemical"
shared_tap,Rural,Akatsi,Rural,2394,196,NULL
tap_in_home,Ilanga,Sokoto,Urban,382,0,NULL
tap_in_home_broken,Rural,Amanzi,Rural,370,0,NULL
well,Lusaka,Akatsi,Urban,330,0,"Contaminated: Biological"
tap_in_home,Rural,Amanzi,Rural,870,0,NULL
well,Rural,Hawassa,Rural,396,0,"Contaminated: Chemical"
river,Rural,Sokoto,Rural,796,8,NULL
well,Amina,Hawassa,Urban,224,0,"Contaminated: Chemical"
tap_in_home,Rural,Sokoto,Rural,324,0,NULL
well,Rural,Hawassa,Rural,382,0,"Contaminated: Chemical"
tap_in_home_broken,Majengo,Sokoto,Urban,336,0,NULL
tap_in_home,Rural,Amanzi,Rural,414,0,NULL
river,Rural,Sokoto,Rural,790,6,NULL
river,Rural,Kilimani,Rural,528,21,NULL
well,Lusaka,Akatsi,Urban,250,0,"Contaminated: Chemical"
shared_tap,Rural,Hawassa,Rural,1032,20,NULL
tap_in_home_broken,Rural,Amanzi,Rural,740,0,NULL
well,Lusaka,Akatsi,Urban,398,0,Clean
tap_in_home_broken,Rural,Amanzi,Rural,532,0,NULL
tap_in_home,Kofi,Sokoto,Urban,698,0,NULL
well,Rural,Hawassa,Rural,308,0,"Contaminated: Chemical"
shared_tap,Rural,Kilimani,Rural,502,59,NULL
river,Dahabu,Amanzi,Urban,438,8,NULL
well,Rural,Kilimani,Rural,232,0,"Contaminated: Chemical"
shared_tap,Rural,Akatsi,Rural,2786,29,NULL
shared_tap,Rural,Sokoto,Rural,2708,219,NULL
well,Marang,Sokoto,Urban,378,0,"Contaminated: Chemical"
tap_in_home_broken,Amina,Amanzi,Urban,592,0,NULL
river,Rural,Kilimani,Rural,918,17,NULL
tap_in_home_broken,Rural,Akatsi,Rural,558,0,NULL
shared_tap,Rural,Akatsi,Rural,1450,128,NULL
well,Djenne,Hawassa,Urban,318,0,"Contaminated: Chemical"
well,Bello,Amanzi,Urban,304,0,"Contaminated: Chemical"
tap_in_home,Rural,Amanzi,Rural,492,0,NULL
shared_tap,Rural,Akatsi,Rural,1856,24,NULL
tap_in_home_broken,Rural,Akatsi,Rural,428,0,NULL
well,Rural,Akatsi,Rural,268,0,"Contaminated: Chemical"
shared_tap,Rural,Amanzi,Rural,2428,199,NULL
shared_tap,Rural,Akatsi,Rural,3958,240,NULL
tap_in_home_broken,Amina,Amanzi,Urban,532,0,NULL
well,Lusaka,Akatsi,Urban,170,0,Clean
well,Zanzibar,Hawassa,Urban,232,0,"Contaminated: Biological"
well,Mrembo,Kilimani,Urban,374,0,"Contaminated: Chemical"
shared_tap,Rural,Kilimani,Rural,3436,30,NULL
tap_in_home,Dahabu,Amanzi,Urban,562,0,NULL
shared_tap,Dahabu,Amanzi,Urban,624,68,NULL
well,Rural,Kilimani,Rural,244,0,"Contaminated: Biological"
well,Rural,Kilimani,Rural,286,0,"Contaminated: Chemical"
well,Amina,Hawassa,Urban,166,0,"Contaminated: Biological"
well,Rural,Sokoto,Rural,226,0,"Contaminated: Chemical"
well,Rural,Kilimani,Rural,368,0,Clean
well,Harare,Kilimani,Urban,330,0,"Contaminated: Biological"
well,Rural,Hawassa,Rural,316,0,"Contaminated: Chemical"
well,Rural,Akatsi,Rural,206,0,Clean
well,Marang,Sokoto,Urban,388,0,Clean
tap_in_home_broken,Rural,Amanzi,Rural,308,0,NULL
tap_in_home,Bahari,Sokoto,Urban,604,0,NULL
tap_in_home_broken,Rural,Kilimani,Rural,692,0,NULL
well,Rural,Sokoto,Rural,238,0,"Contaminated: Chemical"
well,Rural,Sokoto,Rural,314,0,"Contaminated: Chemical"
well,Isiqalo,Kilimani,Urban,316,0,"Contaminated: Biological"
tap_in_home,Rural,Kilimani,Rural,834,0,NULL
well,Isiqalo,Kilimani,Urban,212,0,"Contaminated: Biological"
well,Rural,Hawassa,Rural,388,0,"Contaminated: Chemical"
well,Rural,Akatsi,Rural,230,0,"Contaminated: Biological"
shared_tap,Rural,Sokoto,Rural,3890,30,NULL
tap_in_home_broken,Majengo,Sokoto,Urban,452,0,NULL
tap_in_home,Rural,Sokoto,Rural,866,0,NULL
shared_tap,Rural,Kilimani,Rural,1816,154,NULL
river,Rural,Sokoto,Rural,888,24,NULL
shared_tap,Asmara,Amanzi,Urban,1000,20,NULL
tap_in_home,Rural,Amanzi,Rural,390,0,NULL
well,Harare,Kilimani,Urban,194,0,"Contaminated: Biological"
well,Rural,Akatsi,Rural,242,0,Clean
well,Rural,Hawassa,Rural,264,0,"Contaminated: Chemical"
river,Bahari,Sokoto,Urban,772,28,NULL
tap_in_home,Rural,Amanzi,Rural,726,0,NULL
well,Rural,Amanzi,Rural,208,0,"Contaminated: Chemical"
tap_in_home,Rural,Akatsi,Rural,648,0,NULL
tap_in_home,Dahabu,Amanzi,Urban,904,0,NULL
tap_in_home,Amina,Hawassa,Urban,626,0,NULL
well,Rural,Kilimani,Rural,216,0,Clean
well,Amina,Hawassa,Urban,170,0,"Contaminated: Biological"
tap_in_home_broken,Rural,Amanzi,Rural,494,0,NULL
shared_tap,Rural,Kilimani,Rural,2696,218,NULL
well,Rural,Akatsi,Rural,198,0,Clean
shared_tap,Rural,Kilimani,Rural,1950,25,NULL
tap_in_home_broken,Mrembo,Kilimani,Urban,324,0,NULL
tap_in_home,Rural,Akatsi,Rural,590,0,NULL
tap_in_home_broken,Rural,Hawassa,Rural,702,0,NULL
well,Kintampo,Akatsi,Urban,248,0,"Contaminated: Chemical"
tap_in_home,Kintampo,Akatsi,Urban,302,0,NULL
shared_tap,Rural,Amanzi,Rural,3618,30,NULL
river,Rural,Sokoto,Rural,420,7,NULL
tap_in_home,Rural,Akatsi,Rural,308,0,NULL
tap_in_home,Rural,Amanzi,Rural,626,0,NULL
shared_tap,Rural,Hawassa,Rural,2400,27,NULL
well,Rural,Akatsi,Rural,340,0,Clean
well,Rural,Kilimani,Rural,392,0,"Contaminated: Biological"
shared_tap,Rural,Kilimani,Rural,1702,146,NULL
river,Rural,Sokoto,Rural,984,9,NULL
well,Rural,Amanzi,Rural,326,0,"Contaminated: Chemical"
well,Harare,Akatsi,Urban,334,0,"Contaminated: Biological"
river,Rural,Sokoto,Rural,776,18,NULL
shared_tap,Rural,Sokoto,Rural,2616,212,NULL
well,Rural,Sokoto,Rural,300,0,"Contaminated: Biological"
tap_in_home_broken,Amina,Amanzi,Urban,494,0,NULL
well,Rural,Akatsi,Rural,374,0,Clean
well,Rural,Akatsi,Rural,298,0,Clean
tap_in_home,Harare,Kilimani,Urban,302,0,NULL
tap_in_home,Deka,Hawassa,Urban,912,0,NULL
river,Rural,Akatsi,Rural,954,19,NULL
well,Rural,Sokoto,Rural,216,0,"Contaminated: Chemical"
well,Rural,Kilimani,Rural,212,0,"Contaminated: Chemical"
river,Rural,Kilimani,Rural,610,9,NULL
shared_tap,Rural,Hawassa,Rural,2336,27,NULL
tap_in_home_broken,Rural,Amanzi,Rural,828,0,NULL
tap_in_home,Cheche,Sokoto,Urban,350,0,NULL
tap_in_home,Rural,Amanzi,Rural,476,0,NULL
tap_in_home,Harare,Kilimani,Urban,942,0,NULL
well,Rural,Hawassa,Rural,292,0,"Contaminated: Biological"
well,Rural,Hawassa,Rural,194,0,"Contaminated: Chemical"
well,Ilanga,Sokoto,Urban,278,0,Clean
tap_in_home_broken,Rural,Kilimani,Rural,660,0,NULL
well,Rural,Kilimani,Rural,392,0,Clean
well,Rural,Akatsi,Rural,344,0,"Contaminated: Chemical"
well,Deka,Hawassa,Urban,192,0,"Contaminated: Biological"
tap_in_home,Rural,Hawassa,Rural,872,0,NULL
tap_in_home,Rural,Sokoto,Rural,770,0,NULL
tap_in_home_broken,Rural,Kilimani,Rural,856,0,NULL
well,Mrembo,Kilimani,Urban,188,0,"Contaminated: Biological"
well,Rural,Hawassa,Rural,268,0,"Contaminated: Chemical"
well,Rural,Akatsi,Rural,356,0,"Contaminated: Chemical"
well,Rural,Akatsi,Rural,268,0,"Contaminated: Chemical"
tap_in_home,Lusaka,Akatsi,Urban,576,0,NULL
well,Rural,Akatsi,Rural,342,0,"Contaminated: Chemical"
shared_tap,Rural,Sokoto,Rural,3772,240,NULL
shared_tap,Asmara,Amanzi,Urban,2626,213,NULL
shared_tap,Rural,Sokoto,Rural,2636,214,NULL
tap_in_home_broken,Rural,Kilimani,Rural,570,0,NULL
well,Rural,Sokoto,Rural,324,0,"Contaminated: Biological"
shared_tap,Zuri,Kilimani,Urban,2436,27,NULL
well,Lusaka,Akatsi,Urban,214,0,"Contaminated: Chemical"
well,Rural,Akatsi,Rural,268,0,"Contaminated: Chemical"
river,Cheche,Sokoto,Urban,718,16,NULL
river,Rural,Sokoto,Rural,626,22,NULL
tap_in_home_broken,Rural,Amanzi,Rural,400,0,NULL
well,Rural,Akatsi,Rural,294,0,Clean
tap_in_home_broken,Harare,Akatsi,Urban,934,0,NULL
shared_tap,Rural,Sokoto,Rural,1238,21,NULL
well,Rural,Akatsi,Rural,378,0,"Contaminated: Chemical"
tap_in_home,Dahabu,Amanzi,Urban,868,0,NULL
river,Rural,Hawassa,Rural,516,27,NULL
well,Rural,Sokoto,Rural,170,0,"Contaminated: Chemical"
shared_tap,Harare,Akatsi,Urban,398,17,NULL
shared_tap,Rural,Kilimani,Rural,3048,240,NULL
shared_tap,Zuri,Kilimani,Urban,3442,240,NULL
tap_in_home,Rural,Kilimani,Rural,346,0,NULL
well,Kofi,Sokoto,Urban,242,0,"Contaminated: Chemical"
tap_in_home,Bahari,Sokoto,Urban,300,0,NULL
river,Rural,Kilimani,Rural,932,13,NULL
tap_in_home,Asmara,Amanzi,Urban,770,0,NULL
tap_in_home_broken,Amina,Amanzi,Urban,980,0,NULL
well,Rural,Hawassa,Rural,334,0,"Contaminated: Biological"
tap_in_home,Harare,Kilimani,Urban,360,0,NULL
river,Rural,Amanzi,Rural,982,6,NULL
well,Rural,Akatsi,Rural,234,0,Clean
shared_tap,Bello,Amanzi,Urban,2420,27,NULL
well,Serowe,Hawassa,Urban,318,0,Clean
well,Rural,Kilimani,Rural,264,0,"Contaminated: Chemical"
well,Rural,Sokoto,Rural,378,0,Clean
tap_in_home,Amara,Kilimani,Urban,702,0,NULL
tap_in_home_broken,Rural,Hawassa,Rural,674,0,NULL
well,Rural,Akatsi,Rural,380,0,Clean
shared_tap,Rural,Akatsi,Rural,2620,212,NULL
well,Rural,Kilimani,Rural,178,0,"Contaminated: Biological"
shared_tap,Rural,Sokoto,Rural,1620,140,NULL
shared_tap,Mrembo,Kilimani,Urban,3914,30,NULL
tap_in_home_broken,Rural,Sokoto,Rural,974,0,NULL
shared_tap,Rural,Kilimani,Rural,1030,20,NULL
tap_in_home_broken,Rural,Hawassa,Rural,310,0,NULL
river,Rural,Akatsi,Rural,958,5,NULL
river,Serowe,Hawassa,Urban,902,9,NULL
